ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Cognacy,Loan
1000-100_wing-1,1000,100_wing,nalfar,n a l f a r,,Greenhilletal2008,61,False
1000-101_tofly-1,1000,101_tofly,rre,rː e,,Greenhilletal2008,40,False
1000-102_rat-1,1000,102_rat,kusue,k u s u e,,Greenhilletal2008,3,False
1000-103_meatflesh-1,1000,103_meatflesh,nap̃as,n a p a s,,Greenhilletal2008,"15, 79",False
1000-106_snake-1,1000,106_snake,m̃aata,m aː t a,,Greenhilletal2008,12,False
1000-108_louse-1,1000,108_louse,kuutu,k uː t u,,Greenhilletal2008,1,False
1000-109_mosquito-1,1000,109_mosquito,patriki,p a t r i k i,,Greenhilletal2008,84,False
1000-10_dirty-1,1000,10_dirty,plepla,p l e p l a,,Greenhilletal2008,7,False
1000-110_spider-1,1000,110_spider,kalum̃a,k a l u m a,,Greenhilletal2008,1,False
1000-111_fish-1,1000,111_fish,neika,n e i k a,,Greenhilletal2008,1,False
1000-112_rotten-1,1000,112_rotten,nap̃o,n a p o,,Greenhilletal2008,37,False
1000-113_branch-1,1000,113_branch,nm̃ou,n m o u,,Greenhilletal2008,,False
1000-114_leaf-1,1000,114_leaf,noule,n o u l e,,Greenhilletal2008,45,False
1000-115_root-1,1000,115_root,nakon,n a k o n,,Greenhilletal2008,"2, 41, 42",False
1000-116_flower-1,1000,116_flower,napum̃a,n a p u m a,,Greenhilletal2008,"1, 74",False
1000-117_fruit-1,1000,117_fruit,noana,n o a n a,,Greenhilletal2008,"1, 26",False
1000-119_earthsoil-1,1000,119_earthsoil,ntan,n t a n,,Greenhilletal2008,1,False
1000-120_stone-1,1000,120_stone,faatu,f aː t u,,Greenhilletal2008,1,False
1000-121_sand-1,1000,121_sand,nakerkeri,n a k e r k e r i,,Greenhilletal2008,,False
1000-122_water-1,1000,122_water,nuae,n u a e,,Greenhilletal2008,2,False
1000-123_toflow-1,1000,123_toflow,sara,s a r a,,Greenhilletal2008,33,False
1000-124_sea-1,1000,124_sea,ntasi,n t a s i,,Greenhilletal2008,1,False
1000-126_lake-1,1000,126_lake,nuae,n u a e,,Greenhilletal2008,,False
1000-127_woodsforest-1,1000,127_woodsforest,namlas,n a m l a s,,Greenhilletal2008,18,False
1000-128_sky-1,1000,128_sky,nakortlag,n a k o r t l a g,,Greenhilletal2008,1,False
1000-129_moon-1,1000,129_moon,atlaga,a t l a g a,,Greenhilletal2008,8,False
1000-12_skin-1,1000,12_skin,nawil,n a w i l,,Greenhilletal2008,"1, 81",False
