ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,ABVD_ID
akei1237,Akei,Papunesia,-15.6377,166.767,akei1237,,1010
anei1239,Aneityum,Papunesia,-20.1864,169.825,anei1239,,149
apma1240,Apma,Papunesia,-15.8559,168.189,apma1240,,642
arak1252,Araki,Papunesia,-15.632997,166.952542,arak1252,,465
aulu1238,Aulua,Papunesia,-16.3579,167.697,aulu1238,,1288
axam1237,Axamb,Papunesia,-16.4838,167.707,axam1237,,1398
baki1244,Baki,Papunesia,-16.7096,168.165,baki1244,,1033
bier1244,Bierebo,Papunesia,-16.6663,168.154,bier1244,,1007
bign1238,Big Nambas,Papunesia,-16.0903,167.239,bign1238,,1169
cent2058,Central Maewo,Papunesia,-15.0784,168.135,cent2058,,1080
daka1243,Dakaka,Papunesia,-16.2696,168.013,daka1243,,798
east2443,East Ambae,Papunesia,-15.3523,167.89,east2443,,1592
hano1246,Hano,Papunesia,-15.5432,168.167,hano1246,,1541
katb1237,Avava,Papunesia,-16.2701,167.484,katb1237,,456
kwam1252,Kwamera,Papunesia,-19.5954,169.442,kwam1252,,1028
labo1244,Ninde,Papunesia,-16.4291,167.442,labo1244,,1217
lame1260,Lamenu,Papunesia,-16.6098,168.171,lame1260,,1107
lele1267,Lelepa,Papunesia,-17.6042,168.202,lele1267,,1000
leme1238,Lemerig,Papunesia,-13.739697,167.420676,leme1238,,696
lena1238,Lenakel,Papunesia,-19.4763,169.261,lena1238,,162
lewo1242,Lewo,Papunesia,-16.7612,168.334,lewo1242,,1135
ling1265,Neverver,Papunesia,-16.1986,167.499,ling1265,,1244
litz1237,Naman,Papunesia,-16.1331,167.415,litz1237,,457
lonw1238,Lonwolwol,Papunesia,-16.2286,168.016,lonw1238,,1026
maee1241,Tirax,Papunesia,-15.9914,167.288,maee1241,,1319
mafe1237,Mafea,Papunesia,-15.4316,167.241,mafe1237,,1125
malo1243,Tamambo,Papunesia,-15.6835,167.16,malo1243,,1048
malu1245,Malua Bay,Papunesia,-15.9813,167.208,malu1245,,1318
mara1399,Maragus,Papunesia,-16.0695,167.33,mara1399,,460
mari1426,Sunwadia,Papunesia,-14.970047,168.057941,mari1426,,1583
mask1242,Maskelynes,Papunesia,-16.5073,167.818,mask1242,,1412
mere1242,Merei,Papunesia,-15.2839,166.905,mere1242,,470
mota1237,Mota,Papunesia,-13.835361,167.690924,mota1237,,1092
motl1237,Mwotlap,Papunesia,-13.655015,167.706277,motl1237,,376
nama1268,Namakura,Papunesia,-16.8979,168.569,nama1268,,475
nati1244,Nati,Papunesia,-16.468709,167.496054,nati1244,,1229
nese1235,Nese,Papunesia,-15.952608,167.222769,nese1235,,459
noku1237,Nokuku,Papunesia,-14.8974,166.603,noku1237,,1166
nort2836,North Efate,Papunesia,-17.5774,168.375,nort2836,,1659
nort2839,North Ambrym,Papunesia,-16.1741,168.14,nort2839,,1131
nort2847,North Tanna,Papunesia,-19.3733,169.303,nort2847,,1083
paam1238,Paama,Papunesia,-16.47548,168.23693,paam1238,,1003
port1285,Port Sandwich,Papunesia,-16.4952,167.78,port1285,,1321
rere1240,Rerep,Papunesia,-16.2934,167.651,rere1240,,1246
saaa1241,Sa,Papunesia,-15.9534,168.228,saaa1241,,643
saka1289,Wanohe,Papunesia,-15.0757,167.051,saka1289,,230
seke1241,Seke (Vanuatu),Papunesia,-15.8839,168.197,seke1241,,645
siee1239,Sie,Papunesia,-18.8181,169.166,siee1239,,463
sout2856,South Efate,Papunesia,-17.7006,168.377,sout2856,,322
sout2857,Nahavaq,Papunesia,-16.5116,167.477,sout2857,,453
sout2859,Southeast Ambrym,Papunesia,-16.2975,168.211,sout2859,,1142
sout2869,Southwest Tanna,Papunesia,-19.57953,169.35603,sout2869,,1043
tang1347,Movono,Papunesia,-15.5643,166.958,tang1347,,1027
tolo1255,Tolomako,Papunesia,-15.1569,166.772,tolo1255,,1152
tutu1241,Tutuba,Papunesia,-15.580667,167.268889,tutu1241,,1011
unua1237,Unua,Papunesia,-16.2638,167.599,unua1237,,1247
urav1235,Ura (Vanuatu),Papunesia,-18.6747,169.084,urav1235,,464
urip1239,Uripiv-Wala-Rano-Atchin,Papunesia,-16.00951,167.34643,urip1239,,1325
vera1241,Vera'a,Papunesia,-13.892528,167.428701,vera1241,,1077
vinm1237,Neve'ei,Papunesia,-16.2253,167.427,vinm1237,,484
vure1239,Vurës,Papunesia,-13.905677,167.451412,vure1239,,1065
whit1269,Whitesands,Papunesia,-19.5019,169.381,whit1269,,1139
