ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
GB020-akei1237,akei1237,GB020,0,,,Skirgardetal2023
GB021-akei1237,akei1237,GB021,0,,,Skirgardetal2023
GB022-akei1237,akei1237,GB022,0,,,Skirgardetal2023
GB023-akei1237,akei1237,GB023,0,,,Skirgardetal2023
GB024-akei1237,akei1237,GB024,2,,,Skirgardetal2023
GB025-akei1237,akei1237,GB025,?,,,Skirgardetal2023
GB026-akei1237,akei1237,GB026,?,,,Skirgardetal2023
GB027-akei1237,akei1237,GB027,1,,,Skirgardetal2023
GB028-akei1237,akei1237,GB028,1,,,Skirgardetal2023
GB030-akei1237,akei1237,GB030,0,,,Skirgardetal2023
GB031-akei1237,akei1237,GB031,0,,,Skirgardetal2023
GB035-akei1237,akei1237,GB035,0,,,Skirgardetal2023
GB036-akei1237,akei1237,GB036,0,,,Skirgardetal2023
GB037-akei1237,akei1237,GB037,0,,,Skirgardetal2023
GB038-akei1237,akei1237,GB038,0,,,Skirgardetal2023
GB039-akei1237,akei1237,GB039,1,,,Skirgardetal2023
GB041-akei1237,akei1237,GB041,?,,,Skirgardetal2023
GB042-akei1237,akei1237,GB042,0,,,Skirgardetal2023
GB043-akei1237,akei1237,GB043,0,,,Skirgardetal2023
GB044-akei1237,akei1237,GB044,0,,,Skirgardetal2023
GB046-akei1237,akei1237,GB046,?,,,Skirgardetal2023
GB047-akei1237,akei1237,GB047,?,,,Skirgardetal2023
GB048-akei1237,akei1237,GB048,?,,,Skirgardetal2023
GB049-akei1237,akei1237,GB049,?,,,Skirgardetal2023
GB051-akei1237,akei1237,GB051,0,,,Skirgardetal2023
GB052-akei1237,akei1237,GB052,0,,,Skirgardetal2023
GB053-akei1237,akei1237,GB053,0,,,Skirgardetal2023
GB054-akei1237,akei1237,GB054,0,,,Skirgardetal2023
GB057-akei1237,akei1237,GB057,1,,,Skirgardetal2023
GB058-akei1237,akei1237,GB058,1,,,Skirgardetal2023
GB059-akei1237,akei1237,GB059,1,,,Skirgardetal2023
GB065-akei1237,akei1237,GB065,1,,,Skirgardetal2023
GB068-akei1237,akei1237,GB068,0,,,Skirgardetal2023
GB069-akei1237,akei1237,GB069,0,,,Skirgardetal2023
GB070-akei1237,akei1237,GB070,0,,,Skirgardetal2023
GB071-akei1237,akei1237,GB071,1,,,Skirgardetal2023
GB072-akei1237,akei1237,GB072,0,,,Skirgardetal2023
GB073-akei1237,akei1237,GB073,0,,,Skirgardetal2023
GB074-akei1237,akei1237,GB074,1,,,Skirgardetal2023
GB075-akei1237,akei1237,GB075,0,,,Skirgardetal2023
GB079-akei1237,akei1237,GB079,?,,,Skirgardetal2023
GB080-akei1237,akei1237,GB080,?,,,Skirgardetal2023
GB081-akei1237,akei1237,GB081,?,,,Skirgardetal2023
GB082-akei1237,akei1237,GB082,?,,,Skirgardetal2023
GB083-akei1237,akei1237,GB083,?,,,Skirgardetal2023
GB084-akei1237,akei1237,GB084,?,,,Skirgardetal2023
GB086-akei1237,akei1237,GB086,?,,,Skirgardetal2023
GB089-akei1237,akei1237,GB089,0,,,Skirgardetal2023
GB090-akei1237,akei1237,GB090,1,,,Skirgardetal2023
GB091-akei1237,akei1237,GB091,0,,,Skirgardetal2023
GB092-akei1237,akei1237,GB092,1,,,Skirgardetal2023
GB093-akei1237,akei1237,GB093,1,,,Skirgardetal2023
GB094-akei1237,akei1237,GB094,0,,,Skirgardetal2023
GB095-akei1237,akei1237,GB095,0,,,Skirgardetal2023
GB096-akei1237,akei1237,GB096,0,,,Skirgardetal2023
GB098-akei1237,akei1237,GB098,0,,,Skirgardetal2023
GB099-akei1237,akei1237,GB099,?,,,Skirgardetal2023
GB103-akei1237,akei1237,GB103,?,,,Skirgardetal2023
GB104-akei1237,akei1237,GB104,0,,,Skirgardetal2023
GB105-akei1237,akei1237,GB105,?,,,Skirgardetal2023
GB107-akei1237,akei1237,GB107,?,,,Skirgardetal2023
GB108-akei1237,akei1237,GB108,1,,,Skirgardetal2023
GB109-akei1237,akei1237,GB109,?,,,Skirgardetal2023
GB110-akei1237,akei1237,GB110,?,,,Skirgardetal2023
GB111-akei1237,akei1237,GB111,0,,,Skirgardetal2023
GB113-akei1237,akei1237,GB113,?,,,Skirgardetal2023
GB114-akei1237,akei1237,GB114,?,,,Skirgardetal2023
GB115-akei1237,akei1237,GB115,?,,,Skirgardetal2023
GB116-akei1237,akei1237,GB116,0,,,Skirgardetal2023
GB117-akei1237,akei1237,GB117,0,,,Skirgardetal2023
GB118-akei1237,akei1237,GB118,?,,,Skirgardetal2023
GB119-akei1237,akei1237,GB119,?,,,Skirgardetal2023
GB120-akei1237,akei1237,GB120,?,,,Skirgardetal2023
GB121-akei1237,akei1237,GB121,?,,,Skirgardetal2023
GB122-akei1237,akei1237,GB122,?,,,Skirgardetal2023
GB123-akei1237,akei1237,GB123,?,,,Skirgardetal2023
GB124-akei1237,akei1237,GB124,0,,,Skirgardetal2023
GB126-akei1237,akei1237,GB126,?,,,Skirgardetal2023
GB127-akei1237,akei1237,GB127,?,,,Skirgardetal2023
GB129-akei1237,akei1237,GB129,?,,,Skirgardetal2023
GB130-akei1237,akei1237,GB130,1,,,Skirgardetal2023
GB131-akei1237,akei1237,GB131,0,,,Skirgardetal2023
GB132-akei1237,akei1237,GB132,1,,,Skirgardetal2023
GB133-akei1237,akei1237,GB133,0,,,Skirgardetal2023
GB134-akei1237,akei1237,GB134,1,,,Skirgardetal2023
GB135-akei1237,akei1237,GB135,?,,,Skirgardetal2023
GB136-akei1237,akei1237,GB136,1,,,Skirgardetal2023
GB137-akei1237,akei1237,GB137,0,,,Skirgardetal2023
GB138-akei1237,akei1237,GB138,0,,,Skirgardetal2023
GB139-akei1237,akei1237,GB139,1,,,Skirgardetal2023
GB140-akei1237,akei1237,GB140,?,,,Skirgardetal2023
GB146-akei1237,akei1237,GB146,?,,,Skirgardetal2023
GB147-akei1237,akei1237,GB147,0,,,Skirgardetal2023
GB148-akei1237,akei1237,GB148,?,,,Skirgardetal2023
GB149-akei1237,akei1237,GB149,?,,,Skirgardetal2023
GB150-akei1237,akei1237,GB150,?,,,Skirgardetal2023
GB151-akei1237,akei1237,GB151,?,,,Skirgardetal2023
GB152-akei1237,akei1237,GB152,?,,,Skirgardetal2023
GB155-akei1237,akei1237,GB155,0,,,Skirgardetal2023
GB156-akei1237,akei1237,GB156,?,,,Skirgardetal2023
GB158-akei1237,akei1237,GB158,?,,,Skirgardetal2023
GB159-akei1237,akei1237,GB159,?,,,Skirgardetal2023
GB160-akei1237,akei1237,GB160,?,,,Skirgardetal2023
GB165-akei1237,akei1237,GB165,0,,,Skirgardetal2023
GB166-akei1237,akei1237,GB166,0,,,Skirgardetal2023
GB167-akei1237,akei1237,GB167,?,,,Skirgardetal2023
GB170-akei1237,akei1237,GB170,0,,,Skirgardetal2023
GB171-akei1237,akei1237,GB171,0,,,Skirgardetal2023
GB172-akei1237,akei1237,GB172,0,,,Skirgardetal2023
GB177-akei1237,akei1237,GB177,0,,,Skirgardetal2023
GB184-akei1237,akei1237,GB184,0,,,Skirgardetal2023
GB185-akei1237,akei1237,GB185,0,,,Skirgardetal2023
GB186-akei1237,akei1237,GB186,0,,,Skirgardetal2023
GB187-akei1237,akei1237,GB187,?,,,Skirgardetal2023
GB188-akei1237,akei1237,GB188,?,,,Skirgardetal2023
GB192-akei1237,akei1237,GB192,0,,,Skirgardetal2023
GB193-akei1237,akei1237,GB193,2,,,Skirgardetal2023
GB196-akei1237,akei1237,GB196,0,,,Skirgardetal2023
GB197-akei1237,akei1237,GB197,0,,,Skirgardetal2023
GB198-akei1237,akei1237,GB198,0,,,Skirgardetal2023
GB203-akei1237,akei1237,GB203,?,,,Skirgardetal2023
GB204-akei1237,akei1237,GB204,?,,,Skirgardetal2023
GB250-akei1237,akei1237,GB250,?,,,Skirgardetal2023
GB252-akei1237,akei1237,GB252,?,,,Skirgardetal2023
GB253-akei1237,akei1237,GB253,?,,,Skirgardetal2023
GB254-akei1237,akei1237,GB254,?,,,Skirgardetal2023
GB256-akei1237,akei1237,GB256,?,,,Skirgardetal2023
GB257-akei1237,akei1237,GB257,?,,,Skirgardetal2023
GB260-akei1237,akei1237,GB260,0,,,Skirgardetal2023
GB262-akei1237,akei1237,GB262,0,,,Skirgardetal2023
GB263-akei1237,akei1237,GB263,0,,,Skirgardetal2023
GB264-akei1237,akei1237,GB264,0,,,Skirgardetal2023
GB265-akei1237,akei1237,GB265,0,,,Skirgardetal2023
GB266-akei1237,akei1237,GB266,0,,,Skirgardetal2023
GB270-akei1237,akei1237,GB270,0,,,Skirgardetal2023
GB273-akei1237,akei1237,GB273,0,,,Skirgardetal2023
GB275-akei1237,akei1237,GB275,0,,,Skirgardetal2023
GB276-akei1237,akei1237,GB276,0,,,Skirgardetal2023
GB285-akei1237,akei1237,GB285,0,,,Skirgardetal2023
GB286-akei1237,akei1237,GB286,0,,,Skirgardetal2023
GB291-akei1237,akei1237,GB291,0,,,Skirgardetal2023
GB296-akei1237,akei1237,GB296,?,,,Skirgardetal2023
GB297-akei1237,akei1237,GB297,0,,,Skirgardetal2023
GB298-akei1237,akei1237,GB298,?,,,Skirgardetal2023
GB299-akei1237,akei1237,GB299,?,,,Skirgardetal2023
GB300-akei1237,akei1237,GB300,?,,,Skirgardetal2023
GB301-akei1237,akei1237,GB301,?,,,Skirgardetal2023
GB302-akei1237,akei1237,GB302,0,,,Skirgardetal2023
GB303-akei1237,akei1237,GB303,?,,,Skirgardetal2023
GB304-akei1237,akei1237,GB304,0,,,Skirgardetal2023
GB305-akei1237,akei1237,GB305,0,,,Skirgardetal2023
GB306-akei1237,akei1237,GB306,0,,,Skirgardetal2023
GB309-akei1237,akei1237,GB309,0,,,Skirgardetal2023
GB312-akei1237,akei1237,GB312,?,,,Skirgardetal2023
GB313-akei1237,akei1237,GB313,0,,,Skirgardetal2023
GB314-akei1237,akei1237,GB314,0,,,Skirgardetal2023
GB315-akei1237,akei1237,GB315,0,,,Skirgardetal2023
GB316-akei1237,akei1237,GB316,0,,,Skirgardetal2023
GB317-akei1237,akei1237,GB317,0,,,Skirgardetal2023
GB318-akei1237,akei1237,GB318,0,,,Skirgardetal2023
GB319-akei1237,akei1237,GB319,0,,,Skirgardetal2023
GB320-akei1237,akei1237,GB320,0,,,Skirgardetal2023
GB321-akei1237,akei1237,GB321,0,,,Skirgardetal2023
GB322-akei1237,akei1237,GB322,0,,,Skirgardetal2023
GB323-akei1237,akei1237,GB323,0,,,Skirgardetal2023
GB324-akei1237,akei1237,GB324,1,,,Skirgardetal2023
GB325-akei1237,akei1237,GB325,?,,,Skirgardetal2023
GB326-akei1237,akei1237,GB326,1,,,Skirgardetal2023
GB327-akei1237,akei1237,GB327,?,,,Skirgardetal2023
GB328-akei1237,akei1237,GB328,?,,,Skirgardetal2023
GB329-akei1237,akei1237,GB329,?,,,Skirgardetal2023
GB330-akei1237,akei1237,GB330,?,,,Skirgardetal2023
GB331-akei1237,akei1237,GB331,?,,,Skirgardetal2023
GB333-akei1237,akei1237,GB333,0,,,Skirgardetal2023
GB334-akei1237,akei1237,GB334,1,,,Skirgardetal2023
GB335-akei1237,akei1237,GB335,0,,,Skirgardetal2023
GB336-akei1237,akei1237,GB336,0,,,Skirgardetal2023
GB400-akei1237,akei1237,GB400,0,,,Skirgardetal2023
GB401-akei1237,akei1237,GB401,?,,,Skirgardetal2023
GB402-akei1237,akei1237,GB402,?,,,Skirgardetal2023
GB403-akei1237,akei1237,GB403,?,,,Skirgardetal2023
GB408-akei1237,akei1237,GB408,1,,,Skirgardetal2023
GB409-akei1237,akei1237,GB409,0,,,Skirgardetal2023
GB410-akei1237,akei1237,GB410,1,,,Skirgardetal2023
GB415-akei1237,akei1237,GB415,0,,,Skirgardetal2023
GB421-akei1237,akei1237,GB421,?,,,Skirgardetal2023
GB422-akei1237,akei1237,GB422,?,,,Skirgardetal2023
GB430-akei1237,akei1237,GB430,0,,,Skirgardetal2023
GB431-akei1237,akei1237,GB431,0,,,Skirgardetal2023
GB432-akei1237,akei1237,GB432,0,,,Skirgardetal2023
GB433-akei1237,akei1237,GB433,1,,,Skirgardetal2023
GB519-akei1237,akei1237,GB519,0,,,Skirgardetal2023
GB520-akei1237,akei1237,GB520,0,,,Skirgardetal2023
GB521-akei1237,akei1237,GB521,0,,,Skirgardetal2023
GB522-akei1237,akei1237,GB522,1,,,Skirgardetal2023
GB020-anei1239,anei1239,GB020,0,,,Skirgardetal2023
GB021-anei1239,anei1239,GB021,0,,,Skirgardetal2023
GB022-anei1239,anei1239,GB022,1,,,Skirgardetal2023
GB023-anei1239,anei1239,GB023,0,,,Skirgardetal2023
GB024-anei1239,anei1239,GB024,2,,,Skirgardetal2023
GB025-anei1239,anei1239,GB025,2,,,Skirgardetal2023
GB026-anei1239,anei1239,GB026,0,,,Skirgardetal2023
GB027-anei1239,anei1239,GB027,1,,,Skirgardetal2023
GB028-anei1239,anei1239,GB028,1,,,Skirgardetal2023
GB030-anei1239,anei1239,GB030,0,,,Skirgardetal2023
GB031-anei1239,anei1239,GB031,1,,,Skirgardetal2023
GB035-anei1239,anei1239,GB035,1,,,Skirgardetal2023
GB036-anei1239,anei1239,GB036,0,,,Skirgardetal2023
GB037-anei1239,anei1239,GB037,0,,,Skirgardetal2023
GB038-anei1239,anei1239,GB038,0,,,Skirgardetal2023
GB039-anei1239,anei1239,GB039,0,,,Skirgardetal2023
GB041-anei1239,anei1239,GB041,0,,,Skirgardetal2023
GB042-anei1239,anei1239,GB042,0,,,Skirgardetal2023
GB043-anei1239,anei1239,GB043,0,,,Skirgardetal2023
GB044-anei1239,anei1239,GB044,0,,,Skirgardetal2023
GB046-anei1239,anei1239,GB046,?,,,Skirgardetal2023
GB047-anei1239,anei1239,GB047,1,,,Skirgardetal2023
GB048-anei1239,anei1239,GB048,?,,,Skirgardetal2023
GB049-anei1239,anei1239,GB049,?,,,Skirgardetal2023
GB051-anei1239,anei1239,GB051,0,,,Skirgardetal2023
GB052-anei1239,anei1239,GB052,0,,,Skirgardetal2023
GB053-anei1239,anei1239,GB053,1,,,Skirgardetal2023
GB054-anei1239,anei1239,GB054,0,,,Skirgardetal2023
GB057-anei1239,anei1239,GB057,0,,,Skirgardetal2023
GB058-anei1239,anei1239,GB058,1,,,Skirgardetal2023
GB059-anei1239,anei1239,GB059,1,,,Skirgardetal2023
GB065-anei1239,anei1239,GB065,2,,,Skirgardetal2023
GB068-anei1239,anei1239,GB068,1,,,Skirgardetal2023
GB069-anei1239,anei1239,GB069,0,,,Skirgardetal2023
GB070-anei1239,anei1239,GB070,1,,,Skirgardetal2023
GB071-anei1239,anei1239,GB071,1,,,Skirgardetal2023
GB072-anei1239,anei1239,GB072,1,,,Skirgardetal2023
GB073-anei1239,anei1239,GB073,1,,,Skirgardetal2023
GB074-anei1239,anei1239,GB074,1,,,Skirgardetal2023
GB075-anei1239,anei1239,GB075,0,,,Skirgardetal2023
GB079-anei1239,anei1239,GB079,1,,,Skirgardetal2023
GB080-anei1239,anei1239,GB080,1,,,Skirgardetal2023
GB081-anei1239,anei1239,GB081,0,,,Skirgardetal2023
GB082-anei1239,anei1239,GB082,0,,,Skirgardetal2023
GB083-anei1239,anei1239,GB083,0,,,Skirgardetal2023
GB084-anei1239,anei1239,GB084,0,,,Skirgardetal2023
GB086-anei1239,anei1239,GB086,0,,,Skirgardetal2023
GB089-anei1239,anei1239,GB089,0,,,Skirgardetal2023
GB090-anei1239,anei1239,GB090,0,,,Skirgardetal2023
GB091-anei1239,anei1239,GB091,0,,,Skirgardetal2023
GB092-anei1239,anei1239,GB092,0,,,Skirgardetal2023
GB093-anei1239,anei1239,GB093,1,,,Skirgardetal2023
GB094-anei1239,anei1239,GB094,0,,,Skirgardetal2023
GB095-anei1239,anei1239,GB095,0,,,Skirgardetal2023
GB096-anei1239,anei1239,GB096,0,,,Skirgardetal2023
GB098-anei1239,anei1239,GB098,0,,,Skirgardetal2023
GB099-anei1239,anei1239,GB099,0,,,Skirgardetal2023
GB103-anei1239,anei1239,GB103,0,,,Skirgardetal2023
GB104-anei1239,anei1239,GB104,0,,,Skirgardetal2023
GB105-anei1239,anei1239,GB105,1,,,Skirgardetal2023
GB107-anei1239,anei1239,GB107,0,,,Skirgardetal2023
GB108-anei1239,anei1239,GB108,1,,,Skirgardetal2023
GB109-anei1239,anei1239,GB109,1,,,Skirgardetal2023
GB110-anei1239,anei1239,GB110,0,,,Skirgardetal2023
GB111-anei1239,anei1239,GB111,0,,,Skirgardetal2023
GB113-anei1239,anei1239,GB113,0,,,Skirgardetal2023
GB114-anei1239,anei1239,GB114,0,,,Skirgardetal2023
GB115-anei1239,anei1239,GB115,0,,,Skirgardetal2023
GB116-anei1239,anei1239,GB116,0,,,Skirgardetal2023
GB117-anei1239,anei1239,GB117,0,,,Skirgardetal2023
GB118-anei1239,anei1239,GB118,1,,,Skirgardetal2023
GB119-anei1239,anei1239,GB119,0,,,Skirgardetal2023
GB120-anei1239,anei1239,GB120,0,,,Skirgardetal2023
GB121-anei1239,anei1239,GB121,1,,,Skirgardetal2023
GB122-anei1239,anei1239,GB122,1,,,Skirgardetal2023
GB123-anei1239,anei1239,GB123,0,,,Skirgardetal2023
GB124-anei1239,anei1239,GB124,0,,,Skirgardetal2023
GB126-anei1239,anei1239,GB126,1,,,Skirgardetal2023
GB127-anei1239,anei1239,GB127,0,,,Skirgardetal2023
GB129-anei1239,anei1239,GB129,0,,,Skirgardetal2023
GB130-anei1239,anei1239,GB130,2,,,Skirgardetal2023
GB131-anei1239,anei1239,GB131,1,,,Skirgardetal2023
GB132-anei1239,anei1239,GB132,1,,,Skirgardetal2023
GB133-anei1239,anei1239,GB133,0,,,Skirgardetal2023
GB134-anei1239,anei1239,GB134,1,,,Skirgardetal2023
GB135-anei1239,anei1239,GB135,0,,,Skirgardetal2023
GB136-anei1239,anei1239,GB136,1,,,Skirgardetal2023
GB137-anei1239,anei1239,GB137,0,,,Skirgardetal2023
GB138-anei1239,anei1239,GB138,0,,,Skirgardetal2023
GB139-anei1239,anei1239,GB139,1,,,Skirgardetal2023
GB140-anei1239,anei1239,GB140,0,,,Skirgardetal2023
GB146-anei1239,anei1239,GB146,1,,,Skirgardetal2023
GB147-anei1239,anei1239,GB147,0,,,Skirgardetal2023
GB148-anei1239,anei1239,GB148,0,,,Skirgardetal2023
GB149-anei1239,anei1239,GB149,0,,,Skirgardetal2023
