Grapheme	IPA
$	NULL
-	+
-$	NULL
-͡s	+ s
B	β
I$	ɪ
L$	l
N$	ŋ
R	ʀ
^	NULL
^-	NULL
__	+
-_	+
^ŋ͡ma	ŋ m a
ŋ͡ma	ŋ m a
naᵐ_b	n a ⁿb
^-mᵐẽ	m ẽ
^a	a
^a:	aː
^aa	aː
^aː	aː
^a͡u	au
^b	b
^bw	bʷ
^bʷ	bʷ
^c	c
^d	d
^e	e
^e$	e
^f	f
^fʲ	fʲ
^fʷ	fʷ
^g	g
^gs	g s
^gʷ	gʷ
^h	h
^hw	hʷ
^hʲ	hʲ
^hʷ	hʷ
^i	i
^i$	i
^ii	i i
^ii$	iː
^iː	iː
^iˑ	iˑ
^j	j
^k	k
^kh	kʰ
^kw	kʷ
^kʰ	kʰ
^kʷ	kʷ
^l	l
^lː	lː
^m	m
^mm	mː
^ms	m s
^mw	mʷ
^mʷ	mʷ
^mː	mː
^mᵐ	m
^mᵚ	mʷ
^m⁽ʷ⁾	mʷ
^n	n
^n-n	n + n
^ns	n s
^nʲ	nʲ
^nʷ	nʷ
^n̩	n
^n̼	n̼
^o	o
^o$	o
^p	p
^ps	p s
^pw	pʷ
^pʷ	pʷ
^r	r
^rs	r s
^rː	rː
^s	s
^sw	sʷ
^sʷ	sʷ
^t	t
^tw	tʷ
^tʰ	tʰ
^t̚n	tⁿ
^t͡s	ts
^t͡sʰ	tsʰ
^t͡ʃ	tʃ
^tᵐb	t ⁿb
^tⁿd	t ⁿd
^u	u
^u:	uː
^uu	uː
^v	v
^vs	v s
^vw	vʷ
^vʷ	vʷ
^w	w
^x	x
^xs	x s
^xʷ	xʷ
^y	j
^z	z
^ã	ã
^æ	æ
^ð	ð
^ð̼	ð̼
^ð̼̼	ð̼
^õ	õ
^ĩ	ĩ
^ĩ$	ĩ
^ŋ	ŋ
^ŋʲ	ŋʲ
^ŋʷ	ŋʷ
^š	ʃ
^ɒ	ɒ
^ɔ	ɔ
^ə	ə
^əⁿt͡s	ə ⁿts
^ɛ	ɛ
^ɛ:	ɛː
^ɡ	g
^ɡʷ	gʷ
^ɣ	ɣ
^ɦ	ɦ
^ɪ	ɪ
^ɬ	ɬ
^ɰʷ	ɰʷ
^ɲ	ɲ
^ɳ	ɳ
^ɸ	ɸ
^ɸʲ	ɸʲ
^ɸʷ	ɸʷ
^ɾ	ɾ
^ʃ	ʃ
^ʉ	ʉ
^ʊ	ʊ
^ʋ	ʋ
^ʒ	ʒ
^ʔ	ʔ
^ʙ	ʙ
^ʧ	tʃ
^β	β
^βʷ	βʷ
^χ	χ
^ᴩ	p
^ᵏpʷ	kpʷ
^ᵐb	ⁿb
^ᵐbs	ⁿb s
^ᵐbw	ⁿbʷ
^ᵐbʷ	ⁿbʷ
^ᵐbᵐbʷ	ⁿb ⁿbʷ
^ᵐm	ⁿm
^ᵐʙ	ⁿʙ
^ᵑa	ᵑ/ŋ a
^ᵑg	ⁿg
^ᵑgʷ	ⁿgʷ
^ᵑɡ	ⁿg
^ᵑɡuⁿɡu	ⁿg u ⁿg u
^ᵑɡʷ	ⁿgʷ
^ᶰd	ⁿd
^ẽ	ẽ
^ⁿb	ⁿb
^ⁿd	ⁿd
^ⁿdʳ	ⁿdʳ
^ⁿd͡ʒ	ⁿdʒ
^ⁿg	ⁿg
^ⁿgw	ⁿgʷ
^ⁿp	ⁿp
^ⁿs	ⁿs
^ⁿt	ⁿt
^ⁿt͡s	ⁿts
^ⁿt͡ɕ	ⁿtɕ
^ⁿt͡ʃ	ⁿtʃ
^ⁿz	ⁿz
^ⁿɡ	ⁿg
^ⁿʒ	ⁿʒ
^ⁿʧ	ⁿtʃ
^►$	NULL
_	+
_ᵏpʷ	+ kpʷ
_ⁿd	+ ⁿd
_ⁿdʳ	+ ⁿdʳ
a	a
a$	a
a:	aː
a:$	aː
aa	aː
aiʲ	ai j
aʰ$	a ʰ/h
aˀ	a ˀ/ʔ
aˀ$	a ˀ/ʔ
aː	aː
aˑ	aˑ
a͂	ã
a͂$	ã
a͡m	a m
a͡t$	a t
a͡ul	au l
a͡ŋ	a ŋ
b	b
b$	b
bs	b s
bw	bʷ
bʷ	bʷ
b˺$	b̚/b
bⁿd	b ⁿd
c	c
ch	cʰ
d	d
d$	d
dʲ	dʲ
dʳ	dʳ
dʳ$	dʳ
dᵗ$	dᵗ/d
e	e
e$	e
e:	eː
e:$	eː
e:ⁿd	eː ⁿd
ee	eː
ee$	eː
eiʲ	ei
eʰ$	e ʰ/h
eʲ	eʲ/ei̯
eˀᵐb	e ˀ/ʔ ⁿb
eː	eː
eˑ$	eˑ
e̥$	e̥
e͡	e
f	f
f$	f
fW	fʷ
fs	f s
fʷ	fʷ
fᵗ$	fᵗ/f
g	g
g$	g
gs	g s
gw	gʷ
gʰ$	gʰ
gʷ	gʷ
h	h
h$	h
hs	h s
hʰ$	h
hʷ	hʷ
i	i
i$	i
i:$	iː
ii	iː
iʰ$	i ʰ/h
iˀ	i ˀ/ʔ
iː	iː
iː$	iː
iˑ$	iˑ
i̥$	i̥
j	j
j$	j
k	k
k$	k
keiʲõ	k ei j o
kh	kʰ
ks	k s
ks$	k s
kw	kʷ
kʒ	k ʒ
kʰ	kʰ
kʰ$	kʰ
kʷ	kʷ
k˺$	k̚
k̚	k̚
k̚$	k̚
l	l
l$	l
lh	lʰ
ll	lː
ls	l s
lw	lʷ
lʃ	l ʃ
lʰ$	lʰ
l̩$	l̩
lᵗ$	l ᵗ/t
m	m
m$	m
mm	mː
mm$	mː
ms	m s
ms$	m s
mw	mʷ
mʷ	mʷ
mᴮ$	m
mᵇ	ⁿb
mᵇ$	ⁿb
mᵇs	mᵇ/ⁿb s
mᵖ	ⁿp
mᵖ$	ⁿp
mᵗs	m ᵗ/t s
m’ⁿd	m ⁿd
n	n
n$	n
nD	ⁿð
nh	nʰ
nn	n n
nn$	nː
ns	n s
ns$	n s
nw	nʷ
nʃ	n ʃ
nʒ	ⁿʒ
nʰ$	nʰ
n̩$	n̩
n̪	n̪
n̼	n̼
nᵗ$	nᵗ/ⁿt
o	o
o$	o
o:	oː
oo	oː
oo$	oː
oʰ$	o ʰ/h
oʷ	o ʷ/w
oʷ$	oʷ/ou̯
oˀ	o ˀ/ʔ
oˀ$	o ˀ/ʔ
oː	oː
oˑ$	oˑ
o̥$	o̥
o͂$	õ
o͡i	oi
p	p
p$	p
ph	pʰ
pp$	pː
ps	p s
pw	pʷ
pʰ	pʰ
pʰ$	pʰ
pʷ	pʷ
p˺$	p̚
p̚	p̚
p̚$	p̚
p̚w	p̚ w
p̼	p
p̼$	p
pⁿ$	pⁿ/p
q	q
q$	q
r	r
r$	r
rh	rʰ
rr	rː
rr$	rː
rs	r s
rs$	r s
rw	rʷ
rʃ	r ʃ
rʒ	r ʒ
rʲ	rʲ
rᵑ	rⁿ
s	s
s$	s
s:$	sː
sh	sʰ
ss	sː
sw	sʷ
t	t
t$	t
t-͡sɪplen	t + s ɪ p l e n
th	tʰ
ts	ts
tt	tː
tt͡s	t ts
tw	tʷ
tʃ	tʃ
tʰ	tʰ
tʰ$	tʰ
tʷ	tʷ
t˺$	t̚
t̚$	t̚
t̚w	t̚ w
t̪$	t̪
t̪ʰ$	t̪ʰ
t̻	t̻
t͡s	ts
t͡s$	ts
t͡sʰ	tsʰ
t͡sʰ$	tsʰ
t͡ʃ	tʃ
t͡ʃ$	tʃ
tᵏ	tk
tⁿ$	ⁿt
u	u
u$	u
u:	uː
u:$	uː
uu	uː
uʰ$	u ʰ/h
uː	uː
uˑ$	uˑ
u̥$	u̥
u͂	ũ
u͂$	ũ
v	v
v$	v
vh	vʰ
vs	v s
vw	vʷ
vʃ	v ʃ
vʷ	vʷ
w	w
w$	w
wʰ$	wʰ
x	x
x$	x
xs	x s
xs$	x s
xw	xʷ
xʃ	x ʃ
xʷ	xʷ
xᵐb	x ⁿb
xⁱ	xʲ
ly	l y
iya	i j a
z	z
z$	z
zw	zʷ
ß	β
ß$	β
ã	ã
ã$	ã
ã:$	ãː
æ	æ
æ$	æ
æ:$	æː
æˑ	æˑ
æ̃$	æ̃
ð	ð
ð$	ð
ð̼	ð̼
ð̼̼	ð̼
ð̼̼a	ð̼ a
õ	õ
õ$	õ
ă	ă
ă$	ă
ĕ$	ĕ
ĩ	ĩ
ĩ$	ĩ
ĭ	ĭ
ĭ$	ĭ
ŋ	ŋ
ŋ$	ŋ
ŋs	ŋ s
ŋs$	ŋ s
ŋw	ŋʷ
ŋʃ	ŋ ʃ
ŋʲ	ŋʲ
ŋʷ	ŋʷ
ŋ̆$	ŋ
ŏ$	ŏ
œ	œ
œ$	œ
š	ʃ
š$	ʃ
ũ	ũ
ũ$	ũ
ŭ	ŭ
ŭ$	ŭ
ɐ	ɐ
ɐ$	ɐ
ɑ	ɑ
ͻ	ɔ
ɔ	ɔ
ɔ$	ɔ
ɔʰ	ɔ ʰ/h
ɔ͂$	ɔ̃
ɘ	ɘ
ə	ə
ə$	ə
əʰ$	ə ʰ/h
əː	əː
ə̆	ə̆
ə̥	ə̥
ə̥$	ə̥
ɛ	ɛ
ɛ$	ɛ
ɛ:$	ɛː
ɛɛ	ɛː
ɛɛ$	ɛː
ɛʰ$	ɛ ʰ/h
ɛʲ$	ɛʲ/ɛi̯
ɛˀ$	ɛ ˀ/ʔ
ɛˑ	ɛˑ
ɛ̃	ɛ̃
ɛ̃$	ɛ̃
ɛ̃:$	ɛ̃ː
ɛ͂$	ɛ̃
ɞ	ɞ
ɞ$	ɞ
ɡ	g
ɡ$	g
ɡʷ	gʷ
ɣ	ɣ
ɣ$	ɣ
ɣs	ɣ s
ɣw	ɣʷ
ɣʃ	ɣ ʃ
ɣʷ	ɣʷ
ɣ̆	ɣ
ɣ̞	ɣ̞
ɣⁱ	ɣʲ
ɤ	ɤ
ɪ	ɪ
ɪ$	ɪ
ɪɪ	ɪː
ɪʰ$	ɪ ʰ/h
ɪ̆	ɪ̆
ɪ̥	ɪ̥
ɪ̥$	ɪ̥
ɫ$	lˠ
ɬ	ɬ
ɬ$	ɬ
ɯ	ɯ
ɰ	ɰ
ɰs	ɰ s
ɰʷ	ɰʷ
ɲ	ɲ
ɳ	ɳ
